[2017-05-12 13:44:50,743 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:50,744 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:50,882 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:50,882 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:51,007 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:51,008 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:51,135 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:51,136 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:51,263 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:51,264 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:51,392 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:51,392 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:51,521 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:51,521 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:51,652 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:51,652 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:51,779 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:51,780 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:51,908 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:51,908 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:52,036 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:52,036 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:52,164 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:52,164 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:52,292 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:52,293 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:52,423 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:52,424 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:52,556 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:52,557 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:52,689 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:52,690 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:52,820 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:52,821 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:52,947 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:52,948 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:53,077 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:53,077 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:53,209 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:53,209 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:53,341 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:53,341 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:53,474 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:53,475 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:53,604 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:53,605 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:53,737 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:53,737 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:53,868 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:53,868 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:54,009 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:54,009 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:54,140 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:54,141 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:54,268 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:54,268 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:54,401 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:54,401 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:54,533 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:54,533 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:54,660 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:54,660 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:54,788 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:54,789 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:54,921 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:54,922 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:55,052 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:55,052 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:55,180 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:55,180 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:55,308 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:55,309 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:55,436 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:55,437 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:55,565 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:55,566 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:55,705 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:55,705 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:55,840 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:55,840 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:55,974 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:55,975 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:56,105 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
